@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute accLH {0,1,2,3,4,5}
@attribute buttonsLH {0,1,2,3}
@attribute accRH {0,1,2,3,4,5}
@attribute buttonsRH {0,1,2,3}

@data
2025,'2018/04/23 22:31:59:176',109,507,511,253,0,0,503,503,241,0,0,?,?,1,?
2026,'2018/04/23 22:31:59:272',109,503,511,253,0,0,503,511,253,0,0,?,?,1,?
2027,'2018/04/23 22:31:59:370',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2028,'2018/04/23 22:31:59:464',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2029,'2018/04/23 22:31:59:563',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2030,'2018/04/23 22:31:59:655',109,507,511,253,0,0,511,495,245,0,0,?,?,1,?
2031,'2018/04/23 22:31:59:753',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2032,'2018/04/23 22:31:59:849',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2033,'2018/04/23 22:31:59:948',109,507,507,253,0,0,507,507,253,0,0,?,?,1,?
2034,'2018/04/23 22:32:00:040',109,503,511,253,0,0,503,511,253,0,0,?,?,1,?
2035,'2018/04/23 22:32:00:137',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2036,'2018/04/23 22:32:00:232',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2037,'2018/04/23 22:32:00:330',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2038,'2018/04/23 22:32:00:425',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2039,'2018/04/23 22:32:00:520',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2040,'2018/04/23 22:32:00:616',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2041,'2018/04/23 22:32:00:811',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2042,'2018/04/23 22:32:00:905',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2043,'2018/04/23 22:32:01:001',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2044,'2018/04/23 22:32:01:095',109,507,511,253,0,0,507,499,245,0,0,?,?,1,?
2045,'2018/04/23 22:32:01:100',109,507,511,253,0,0,507,499,245,0,0,?,?,1,?
2046,'2018/04/23 22:32:01:195',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2047,'2018/04/23 22:32:01:288',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2048,'2018/04/23 22:32:01:386',109,503,511,253,0,0,503,511,253,0,0,?,?,1,?
2049,'2018/04/23 22:32:01:480',109,507,511,249,0,0,507,511,249,0,0,?,?,1,?
2050,'2018/04/23 22:32:01:581',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2051,'2018/04/23 22:32:01:673',109,503,511,253,0,0,503,511,253,0,0,?,?,1,?
2052,'2018/04/23 22:32:01:768',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2053,'2018/04/23 22:32:01:864',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2054,'2018/04/23 22:32:01:962',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2055,'2018/04/23 22:32:02:055',109,507,511,253,0,0,507,491,245,0,0,?,?,1,?
2056,'2018/04/23 22:32:02:057',109,507,511,253,0,0,507,491,245,0,0,?,?,1,?
2057,'2018/04/23 22:32:02:153',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2058,'2018/04/23 22:32:02:249',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2059,'2018/04/23 22:32:02:349',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2060,'2018/04/23 22:32:02:440',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2061,'2018/04/23 22:32:02:535',109,507,511,253,0,0,507,495,249,0,0,?,?,1,?
2062,'2018/04/23 22:32:02:538',109,507,511,253,0,0,507,495,249,0,0,?,?,1,?
2063,'2018/04/23 22:32:02:633',109,503,511,253,0,0,503,511,253,0,0,?,?,1,?
2064,'2018/04/23 22:32:02:728',109,503,511,253,0,0,507,495,249,0,0,?,?,1,?
2065,'2018/04/23 22:32:02:731',109,503,511,253,0,0,507,495,249,0,0,?,?,1,?
2066,'2018/04/23 22:32:02:826',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2067,'2018/04/23 22:32:02:921',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2068,'2018/04/23 22:32:03:016',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2069,'2018/04/23 22:32:03:115',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2070,'2018/04/23 22:32:03:209',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2071,'2018/04/23 22:32:03:304',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2072,'2018/04/23 22:32:03:400',109,507,511,249,0,0,507,511,249,0,0,?,?,1,?
2073,'2018/04/23 22:32:03:495',109,507,511,249,0,0,503,499,241,0,0,?,?,1,?
2074,'2018/04/23 22:32:03:498',109,507,511,249,0,0,503,499,241,0,0,?,?,1,?
2075,'2018/04/23 22:32:03:596',109,507,511,249,0,0,507,511,249,0,0,?,?,1,?
2076,'2018/04/23 22:32:03:688',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2077,'2018/04/23 22:32:03:784',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2078,'2018/04/23 22:32:03:883',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2079,'2018/04/23 22:32:03:975',109,507,511,253,0,0,507,495,253,0,0,?,?,1,?
2080,'2018/04/23 22:32:03:979',109,507,511,253,0,0,507,495,253,0,0,?,?,1,?
2081,'2018/04/23 22:32:04:073',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2082,'2018/04/23 22:32:04:168',109,507,507,253,0,0,507,507,253,0,0,?,?,1,?
2083,'2018/04/23 22:32:04:265',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2084,'2018/04/23 22:32:04:362',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
